,AGS_0,Fläche_Name_1,y_forderungen
117,06412,Kreisfreie Stadt Frankfurt am Main,1.4917914932316318
118,06413,Kreisfreie Stadt Offenbach am Main,1.7188905057376476
119,06414,Kreisfreie Stadt Wiesbaden,5.637180782391983
120,06431,Landkreis Bergstraße,12.011788240094996
121,06432,Landkreis Darmstadt-Dieburg,8.048222246628553
122,06433,Landkreis Groß-Gerau,7.9953379850154995
123,06434,Landkreis Hochtaunuskreis,11.83835644608085
124,06435,Landkreis Main-Kinzig-Kreis,18.489571508283667
125,06436,Landkreis Main-Taunus-Kreis,18.034664333508623
126,06437,Landkreis Odenwaldkreis,14.590400085853283
127,06438,Landkreis Offenbach,15.649712170713816
128,06439,Landkreis Rheingau-Taunus-Kreis,4.969719209197114
129,06440,Landkreis Wetteraukreis,10.097531831794756
130,06531,Landkreis Gießen,9.768484964751378
131,06532,Landkreis Lahn-Dill-Kreis,11.964047650942648
132,06533,Landkreis Limburg-Weilburg,4.781376816248593
133,06534,Landkreis Marburg-Biedenkopf,12.39379012860657
134,06535,Landkreis Vogelsbergkreis,6.085866651267307
135,06611,Kreisfreie Stadt Kassel,4.319537877156156
136,06631,Landkreis Fulda,8.300565941429562
137,06632,Landkreis Hersfeld-Rotenburg,7.4997932194307655
138,06633,Landkreis Kassel,11.471088775237476
139,06634,Landkreis Schwalm-Eder-Kreis,5.433145684761289
140,06635,Landkreis Waldeck-Frankenberg,7.422705206480504
141,06636,Landkreis Werra-Meißner-Kreis,5.658042199353167
142,07111,Kreisfreie Stadt Koblenz,13.321419388376286
143,07131,Landkreis Ahrweiler,12.68231320190366
144,07132,Landkreis Altenkirchen (Westerwald),7.09691160003535
145,07133,Landkreis Bad Kreuznach,5.257422726239807
146,07134,Landkreis Birkenfeld,6.069973406266269
147,07135,Landkreis Cochem-Zell,13.426278149510486
148,07137,Landkreis Mayen-Koblenz,10.276539864105844
149,07138,Landkreis Neuwied,5.293539429443934
150,07140,Landkreis Rhein-Hunsrück-Kreis,6.878753705893373
151,07141,Landkreis Rhein-Lahn-Kreis,8.167151467232207
152,07143,Landkreis Westerwaldkreis,23.103025317072383
153,07211,Kreisfreie Stadt Trier,5.238398271745361
154,07231,Landkreis Bernkastel-Wittlich,10.316466225683365
155,07232,Landkreis Eifelkreis Bitburg-Prüm,8.817069826188193
156,07233,Landkreis Vulkaneifel,9.54607500883806
157,07235,Landkreis Trier-Saarburg,6.1293100224748205
158,07311,Kreisfreie Stadt Frankenthal (Pfalz),1.4382292064702762
159,07312,Kreisfreie Stadt Kaiserslautern,1.3266790339265608
160,07313,Kreisfreie Stadt Landau in der Pfalz,2.949439030795119
161,07314,Kreisfreie Stadt Ludwigshafen am Rhein,3.374338208733103
162,07315,Kreisfreie Stadt Mainz,1.2272887576439462
163,07316,Kreisfreie Stadt Neustadt an der Weinstraße,0.93407869488434
164,07317,Kreisfreie Stadt Pirmasens,9.53909361197321
165,07318,Kreisfreie Stadt Speyer,1.540219730813272
166,07319,Kreisfreie Stadt Worms,4.537105747191675
167,07320,Kreisfreie Stadt Zweibrücken,7.761869818521352
168,07331,Landkreis Alzey-Worms,9.650472237708602
169,07332,Landkreis Bad Dürkheim,9.795420604590062
170,07333,Landkreis Donnersbergkreis,18.97403204739183
171,07334,Landkreis Germersheim,10.54685505144959
172,07335,Landkreis Kaiserslautern,5.873217706481288
173,07336,Landkreis Kusel,6.857445416143795
174,07337,Landkreis Südliche Weinstraße,8.76430760684064
175,07338,Landkreis Rhein-Pfalz-Kreis,1.2176421938165751
176,07339,Landkreis Mainz-Bingen,8.081169659782315
177,07340,Landkreis Südwestpfalz,11.400787478815257
178,08111,Stadtkreis Stuttgart,8.436084080030989
179,08115,Landkreis Böblingen,8.322680278868303
180,08116,Landkreis Esslingen,11.980012204718856
181,08117,Landkreis Göppingen,8.281057326518166
182,08118,Landkreis Ludwigsburg,7.606626218404131
183,08119,Landkreis Rems-Murr-Kreis,8.6888513341067
184,08121,Stadtkreis Heilbronn,6.492617238089377
185,08125,Landkreis Heilbronn,7.691097505017651
186,08126,Landkreis Hohenlohekreis,8.577036887710198
187,08127,Landkreis Schwäbisch Hall,11.37502675739806
188,08128,Landkreis Main-Tauber-Kreis,6.824316023018425
189,08135,Landkreis Heidenheim,9.920087271256728
190,08136,Landkreis Ostalbkreis,11.344894767166073
191,08211,Stadtkreis Baden-Baden,8.20000998310628
